"Date","Age","Case Count","Daily Rate per 100k","Seven-day Average Case Rate"
2020-10-13,"12-17 years",114,35.3175168687613,37.1
2020-10-13,"5-11 years",55,15.0785317348262,14.3
2020-10-14,"12-17 years",158,48.948839168985,37.8
2020-10-14,"5-11 years",69,18.9167034491456,15.3
2020-10-15,"12-17 years",142,43.9919946961764,38.6
2020-10-15,"5-11 years",73,20.0133239389511,15.4
2020-10-16,"12-17 years",113,35.0077140892108,37.7
2020-10-16,"5-11 years",81,22.2065649185622,16.2
2020-10-17,"12-17 years",92,28.5018557186495,36.1
2020-10-17,"5-11 years",69,18.9167034491456,17.3
2020-10-18,"12-17 years",108,33.4587001914581,36.2
2020-10-18,"5-11 years",59,16.1751522246317,17.9
2020-10-19,"12-17 years",99,30.6704751755033,36.6
2020-10-19,"5-11 years",38,10.4178946531526,17.4
2020-10-20,"12-17 years",143,44.3017974757269,37.8
2020-10-20,"5-11 years",57,15.626841979729,17.5
2020-10-21,"12-17 years",163,50.4978530667377,38.1
2020-10-21,"5-11 years",67,18.3683932042428,17.4
2020-10-22,"12-17 years",171,52.976275303142,39.3
2020-10-22,"5-11 years",90,24.6739610206247,18.1
2020-10-23,"12-17 years",159,49.2586419485356,41.4
2020-10-23,"5-11 years",89,24.3998058981733,18.4
2020-10-24,"12-17 years",154,47.7096280507829,44.1
2020-10-24,"5-11 years",93,25.4964263879788,19.3
2020-10-25,"12-17 years",106,32.839094632357,44
2020-10-25,"5-11 years",62,16.9976175919859,19.4
2020-10-26,"12-17 years",91,28.192052939099,43.7
2020-10-26,"5-11 years",50,13.7077561225693,19.9
2020-10-27,"12-17 years",143,44.3017974757269,43.7
2020-10-27,"5-11 years",75,20.5616341838539,20.6
2020-10-28,"12-17 years",171,52.976275303142,44
2020-10-28,"5-11 years",87,23.8514956532705,21.4
2020-10-29,"12-17 years",232,71.8742448557249,46.7
2020-10-29,"5-11 years",92,25.2222712655275,21.5
2020-10-30,"12-17 years",165,51.1174586258388,47
2020-10-30,"5-11 years",68,18.6425483266942,20.6
2020-10-31,"12-17 years",168,52.0468669644904,47.6
2020-10-31,"5-11 years",87,23.8514956532705,20.4
2020-11-01,"12-17 years",104,32.219489073256,47.5
2020-11-01,"5-11 years",59,16.1751522246317,20.3
2020-11-02,"12-17 years",164,50.8076558462882,50.8
2020-11-02,"5-11 years",62,16.9976175919859,20.8
2020-11-03,"12-17 years",182,56.3841058781979,52.5
2020-11-03,"5-11 years",91,24.9481161430761,21.4
2020-11-04,"12-17 years",242,74.9722726512302,55.6
2020-11-04,"5-11 years",131,35.9143210411315,23.1
2020-11-05,"12-17 years",301,93.250636644712,58.7
2020-11-05,"5-11 years",129,35.3660107962287,24.6
2020-11-06,"12-17 years",299,92.6310310856109,64.6
2020-11-06,"5-11 years",130,35.6401659186801,27
2020-11-07,"12-17 years",258,79.9291171240388,68.6
2020-11-07,"5-11 years",117,32.0761493268121,28.2
2020-11-08,"12-17 years",236,73.113455973927,74.4
2020-11-08,"5-11 years",105,28.7862878573955,30
2020-11-09,"12-17 years",243,75.2820754307808,77.9
2020-11-09,"5-11 years",111,30.4312185921038,31.9
2020-11-10,"12-17 years",234,72.4938504148259,80.2
2020-11-10,"5-11 years",101,27.6896673675899,32.3
2020-11-11,"12-17 years",460,142.509278593248,89.9
2020-11-11,"5-11 years",179,49.073766918798,34.2
2020-11-12,"12-17 years",379,117.415253449654,93.3
2020-11-12,"5-11 years",152,41.6715786126106,35.1
2020-11-13,"12-17 years",486,150.564150861562,101.6
2020-11-13,"5-11 years",214,58.6691962045965,38.3
2020-11-14,"12-17 years",267,82.7173421399937,102
2020-11-14,"5-11 years",123,33.7210800615204,38.6
2020-11-15,"12-17 years",192,59.4821336737033,100.1
2020-11-15,"5-11 years",103,28.2379776124927,38.5
2020-11-16,"12-17 years",306,94.7996505424647,102.9
2020-11-16,"5-11 years",163,44.6872849595758,40.5
2020-11-17,"12-17 years",292,90.4624116287571,105.4
2020-11-17,"5-11 years",151,41.3974234901592,42.5
2020-11-18,"12-17 years",382,118.344661788306,102
2020-11-18,"5-11 years",194,53.1860937555688,43.1
2020-11-19,"12-17 years",451,139.721053577293,105.2
2020-11-19,"5-11 years",285,78.1342098986448,48.3
2020-11-20,"12-17 years",353,109.36038118134,99.3
2020-11-20,"5-11 years",159,43.5906644697703,46.1
2020-11-21,"12-17 years",348,107.811367283587,102.9
2020-11-21,"5-11 years",193,52.9119386331174,48.9
2020-11-22,"12-17 years",242,74.9722726512302,105.1
2020-11-22,"5-11 years",142,38.9300273880967,50.4
2020-11-23,"12-17 years",265,82.0977365808926,103.3
